recording,evar_FA_mean,evar_FA_median,evar_n_hits_mean,evar_n_hits_median,evar_max_hits_mean,evar_max_hits_median,evar_HR_mean,evar_HR_median,evar_trial_idx_mean,evar_trial_idx_median,cond_,set_Easy,set_Hard,set_Medium,epoch_set,win_start,win_end,pupil_diameter
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",0,0.45,177.94539
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",0.5,0.95,198.52364
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",1,1.45,216.92813
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",1.5,1.95,148.99553
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",2,2.45,101.67916
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",2.5,2.95,135.15837
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",3,3.45,123.91368
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",3.5,3.95,3.8809419
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",4,4.45,-48.023148
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",4.5,4.95,8.2534246
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",5,5.45,131.4686
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",5.5,5.95,194.90208
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",6,6.45,190.80191
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",6.5,6.95,198.13293
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",7,7.45,232.97285
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",7.5,7.95,265.94266
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",8,8.45,260.36514
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",8.5,8.95,214.95895
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",9,9.45,175.27797
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",9.5,9.95,203.63326
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",10,10.45,215.91653
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",10.5,10.95,122.57278
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",11,11.45,-15.204623
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",11.5,11.95,29.034958
