recording,timelocking_event,timelocking_time,epoch_idx,epoch_type,rejected,evar_FA,evar_n_hits,evar_max_hits,evar_HR,evar_trial_idx,cond_,set_Easy,set_Hard,set_Medium,trial_mean
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep1_2_nScene2_freqdistance6_freq(2016,3917)_AM(23,3)_gap([7,10.6522,16.6522;13,22.6667]).wav",346.541,1,"trial",0,0,3,3,1,1,1,0,0,1,227.48219
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep2_3_nScene3_freqdistance6_freq(1796,3540)_AM(3,13)_gap([7,15.6667,27;9.0769,24.1538;13.4286,18]).wav",381.878,2,"trial",1,1,2,3,0.66667,2,1,0,1,0,161.38866
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep3_3_nScene3_freqdistance6_freq(2016,993)_AM(23,7)_gap([8.6087,14.7826,25.1304;12.4286,18.2857,20.4286;6.3333,23]).wav",417.546,3,"trial",0,0,3,3,1,3,1,0,1,0,60.184277
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep2_1_nScene1_freqdistance0_freq(1796)_AM(3)_gap([18.6667,22,27]).wav",453.762,4,"trial",0,0,3,3,1,4,1,1,0,0,-245.99265
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep1_1_nScene1_freqdistance0_freq(2016)_AM(23)_gap([22,24.4348]).wav",489.429,5,"trial",0,0,2,2,1,5,1,1,0,0,135.64075
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep3_1_nScene1_freqdistance0_freq(2016)_AM(23)_gap([8.3913,22.6957]).wav",526.447,6,"trial",0,0,2,2,1,6,1,1,0,0,223.14439
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep1_3_nScene3_freqdistance6_freq(2016,3917)_AM(23,3)_gap([6.2174,15.7826,19.3478;22,26.3333;9.3077,12.6154,24.1538]).wav",562.03,7,"trial",0,1,3,3,1,7,1,0,1,0,-283.03784
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep2_2_nScene2_freqdistance6_freq(1796,872)_AM(3,13)_gap([11.6667,19;6.3077,9.3846,24.5385]).wav",598.434,8,"trial",0,0,2,2,1,8,1,0,0,1,220.70291
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep4_2_nScene2_freqdistance6_freq(1270,2540)_AM(3,13)_gap([6.3333,23.3333;14.2308,19.9231,25.4615]).wav",634.131,9,"trial",0,0,2,2,1,9,1,0,0,1,-44.989944
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep3_2_nScene2_freqdistance6_freq(2016,3917)_AM(23,7)_gap([7.913,16.6087,26.2174;11.2857,13.8571,19.7143]).wav",669.965,10,"trial",0,0,3,3,1,10,1,0,0,1,60.670036
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep4_1_nScene1_freqdistance0_freq(1270)_AM(3)_gap([16.3333,18.3333]).wav",705.348,11,"trial",0,0,2,2,1,11,1,1,0,0,62.595615
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep4_3_nScene3_freqdistance6_freq(1270,582)_AM(3,13)_gap([8.6667,22,25.3333;6.5385,11.0769,13.9231;16.1429,18.7143]).wav",741.582,12,"trial",0,0,3,3,1,12,1,0,1,0,255.30334
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep3_2_nScene2_freqdistance6_freq(1270,582)_AM(23,7)_gap([11.8696,17.1739,25.7826;14.2857,19.5714]).wav",780.852,13,"trial",0,0,3,3,1,13,1,0,0,1,-104.88788
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep2_2_nScene2_freqdistance6_freq(1796,872)_AM(13,23)_gap([14.6154,18.1538;7.2174,11.8696,21.4783]).wav",816.221,14,"trial",0,0,2,2,1,14,1,0,0,1,628.55249
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep1_1_nScene1_freqdistance0_freq(1796)_AM(7)_gap([9.4286,14.4286,24.5714]).wav",851.791,15,"trial",0,0,3,3,1,15,1,1,0,0,278.93979
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep2_1_nScene1_freqdistance0_freq(1796)_AM(13)_gap([8.5385,22.7692]).wav",887.255,16,"trial",0,0,2,2,1,16,1,1,0,0,-444.56683
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep1_2_nScene2_freqdistance6_freq(1796,3540)_AM(7,13)_gap([10.1429,17;14.3846,19.3846,22.9231]).wav",922.457,17,"trial",0,0,2,2,1,17,1,0,0,1,208.88051
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep2_3_nScene3_freqdistance6_freq(1796,3540)_AM(13,23)_gap([12.6154,26.9231;7.4348,19.7826;9.6667,14.6667,24]).wav",959.075,18,"trial",0,0,2,2,1,18,1,0,1,0,177.13187
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep4_3_nScene3_freqdistance6_freq(1115,497)_AM(7,23)_gap([8.2857,15.7143,23.8571;18.5652,20.9565;10.6667,13.3333,26]).wav",994.208,19,"trial",0,0,3,3,1,19,1,0,1,0,-26.944796
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep4_2_nScene2_freqdistance6_freq(1115,497)_AM(7,23)_gap([6.2857,9.4286,21.7143;13.7391,18.3478]).wav",1029.604,20,"trial",0,1,3,3,1,20,1,0,0,1,-171.98071
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep4_1_nScene1_freqdistance0_freq(1115)_AM(7)_gap([14.4286,23.1429,26.5714]).wav",1064.887,21,"trial",0,0,3,3,1,21,1,1,0,0,-64.308113
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep1_3_nScene3_freqdistance6_freq(1796,872)_AM(7,13)_gap([7.1429,20,23;15.5385,17.6923;9.6667,12,27]).wav",1101.704,22,"trial",1,3,3,3,1,22,1,0,1,0,-10.252002
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep3_3_nScene3_freqdistance6_freq(1270,2540)_AM(23,7)_gap([6.6087,14.6522,21.087;8.8571,23.5714;17,19,25.6667]).wav",1137.321,23,"trial",0,0,3,3,1,23,1,0,1,0,-382.75192
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep3_1_nScene1_freqdistance0_freq(1270)_AM(23)_gap([12.2174,16.3043,21]).wav",1172.688,24,"trial",0,0,3,3,1,24,1,1,0,0,-149.8539
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep1_1_nScene1_freqdistance0_freq(1270)_AM(23)_gap([6.913,19.0435,26.2174]).wav",1211.69,25,"trial",0,0,3,3,1,25,1,1,0,0,135.40634
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep3_2_nScene2_freqdistance6_freq(1600,766)_AM(7,23)_gap([12.5714,15.7143;7.3913,21.0435,25.1304]).wav",1247.392,26,"trial",0,1,2,2,1,26,1,0,0,1,-423.91672
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep4_2_nScene2_freqdistance6_freq(1796,872)_AM(13,23)_gap([15.5385,19.9231;8.8261,22.3043,25.3478]).wav",1283.241,27,"trial",0,0,2,2,1,27,1,0,0,1,348.28534
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep4_3_nScene3_freqdistance6_freq(1796,3540)_AM(13,23)_gap([16.0769,26.6154;6.3913,20.6087;9.1429,11.2857,24.4286]).wav",1318.975,28,"trial",1,0,1,2,0.5,28,1,0,1,0,489.5282
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep1_3_nScene3_freqdistance6_freq(1270,582)_AM(23,3)_gap([9.7391,13.3478,23.2609;7.6667,21;18.3846,25.7692]).wav",1354.579,29,"trial",0,0,3,3,1,29,1,0,1,0,88.388565
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep3_1_nScene1_freqdistance0_freq(1600)_AM(7)_gap([9,11.2857,16]).wav",1389.959,30,"trial",0,0,3,3,1,30,1,1,0,0,-271.2373
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep1_2_nScene2_freqdistance6_freq(1270,582)_AM(23,3)_gap([10,17.3043,26.9565;7.6667,24.6667]).wav",1425.211,31,"trial",0,0,3,3,1,31,1,0,0,1,287.25998
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep2_3_nScene3_freqdistance6_freq(1270,582)_AM(7,3)_gap([20.8571,25.5714;9.6667,12.3333,23.3333;7.6154,17.6923]).wav",1462.213,32,"trial",0,0,2,2,1,32,1,0,1,0,349.16025
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep2_1_nScene1_freqdistance0_freq(1270)_AM(7)_gap([17,26.8571]).wav",1498.143,33,"trial",0,0,2,2,1,33,1,1,0,0,114.31795
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep4_1_nScene1_freqdistance0_freq(1796)_AM(13)_gap([12.4615,16.6154,20.0769]).wav",1534.726,34,"trial",0,0,3,3,1,34,1,1,0,0,-180.45549
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep3_3_nScene3_freqdistance6_freq(1600,3154)_AM(7,23)_gap([10,18.4286;7.0435,24.6087;13,15.3333,21.6667]).wav",1571.077,35,"trial",0,0,2,2,1,35,1,0,1,0,108.8069
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep2_2_nScene2_freqdistance6_freq(1270,582)_AM(7,3)_gap([7.7143,21.2857,23.7143;15,19]).wav",1606.743,36,"trial",0,0,3,3,1,36,1,0,0,1,117.50042
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep1_3_nScene3_freqdistance6_freq(2016,993)_AM(3,7)_gap([6.3333,17.6667;8.8571,23,26;11.3077,15.4615,19.8462]).wav",1646.263,37,"trial",0,0,2,2,1,37,1,0,1,0,-118.84874
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep1_2_nScene2_freqdistance6_freq(2016,993)_AM(3,7)_gap([16.6667,19.3333,23.6667;10.7143,26.1429]).wav",1681.681,38,"trial",0,0,3,3,1,38,1,0,0,1,-291.36209
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep4_2_nScene2_freqdistance6_freq(1270,2540)_AM(7,23)_gap([10.7143,13.8571,19;7,22.4348]).wav",1717.097,39,"trial",0,0,3,3,1,39,1,0,0,1,-62.431698
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep2_2_nScene2_freqdistance6_freq(1115,497)_AM(3,7)_gap([7,22.3333,24.3333;14.5714,20.2857,26.7143]).wav",1753.147,40,"trial",0,0,3,3,1,40,1,0,0,1,-40.423145
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep3_2_nScene2_freqdistance6_freq(1796,872)_AM(7,23)_gap([8.5714,13.1429,15.7143;10.6087,21.7391,24.3478]).wav",1788.381,41,"trial",0,0,3,3,1,41,1,0,0,1,501.57065
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep2_3_nScene3_freqdistance6_freq(1115,2263)_AM(3,7)_gap([9.3333,16.3333,21.6667;6.5714,19.2857;12.1739,24.087,26.2174]).wav",1823.581,42,"trial",0,0,3,3,1,42,1,0,1,0,-5.1456842
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep4_1_nScene1_freqdistance0_freq(1270)_AM(7)_gap([7,12.2857,16.4286]).wav",1859.198,43,"trial",1,0,2,3,0.66667,43,1,1,0,0,-380.84531
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep4_3_nScene3_freqdistance6_freq(1270,2540)_AM(7,23)_gap([11.4286,19.2857,24.1429;6.2174,26.7826;14,16.3333,21.6667]).wav",1896.552,44,"trial",0,0,3,3,1,44,1,0,1,0,155.89697
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep3_1_nScene1_freqdistance0_freq(1796)_AM(7)_gap([8.7143,12.1429]).wav",1932.82,45,"trial",1,0,1,2,0.5,45,1,1,0,0,-287.42725
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep2_1_nScene1_freqdistance0_freq(1115)_AM(3)_gap([9,20.6667,26.6667]).wav",1968.365,46,"trial",0,0,3,3,1,46,1,1,0,0,-139.96086
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep1_1_nScene1_freqdistance0_freq(2016)_AM(3)_gap([8,17.6667,22]).wav",2003.649,47,"trial",0,0,3,3,1,47,1,1,0,0,50.716816
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep3_3_nScene3_freqdistance6_freq(1796,3540)_AM(7,23)_gap([9.8571,13.1429;7.087,19.3043,24.3478;16.6154,22.1538,26.3846]).wav",2039.116,48,"trial",0,1,2,2,1,48,1,0,1,0,469.5867
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep4_2_nScene2_freqdistance6_freq(1270,2540)_AM(3,13)_gap([8.3333,20.6667,26;10.5385,12.9231]).wav",2078.918,49,"trial",0,0,3,3,1,49,1,0,0,1,85.35421
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep4_3_nScene3_freqdistance6_freq(1270,2540)_AM(3,13)_gap([14.3333,17.3333,19.3333;6.3077,11,22.2308;8.5652,26.1739]).wav",2114.418,50,"trial",0,0,3,3,1,50,1,0,1,0,94.883156
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep1_1_nScene1_freqdistance0_freq(1796)_AM(7)_gap([15.7143,18.4286,20.8571]).wav",2149.574,51,"trial",0,0,3,3,1,51,1,1,0,0,348.08188
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep3_2_nScene2_freqdistance6_freq(1425,663)_AM(3,23)_gap([18.3333,20.6667,23;6.2609,10.0435]).wav",2184.873,52,"trial",1,0,2,3,0.66667,52,1,0,0,1,58.306595
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep3_1_nScene1_freqdistance0_freq(1425)_AM(3)_gap([9,14,24]).wav",2222.237,53,"trial",0,0,3,3,1,53,1,1,0,0,764.66028
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep1_3_nScene3_freqdistance6_freq(1796,872)_AM(7,13)_gap([19.2857,23.2857;6.1538,8.1538,13.2308;10.6522,15.4348,25.7826]).wav",2257.652,54,"trial",1,0,1,2,0.5,54,1,0,1,0,142.44461
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep3_3_nScene3_freqdistance6_freq(1425,2851)_AM(3,23)_gap([11,21.3333;19.1304,24.1304,26.8261;6,8.1429]).wav",2293.103,55,"trial",0,0,2,2,1,55,1,0,1,0,-92.180183
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep2_1_nScene1_freqdistance0_freq(1600)_AM(3)_gap([20,26.6667]).wav",2328.506,56,"trial",0,1,2,2,1,56,1,1,0,0,-143.68114
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep2_2_nScene2_freqdistance6_freq(1600,3154)_AM(3,13)_gap([9.3333,24.3333;11.8462,26.4615]).wav",2363.709,57,"trial",0,0,2,2,1,57,1,0,0,1,172.63383
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep4_1_nScene1_freqdistance0_freq(1270)_AM(3)_gap([6.6667,15,21]).wav",2399.723,58,"trial",0,0,3,3,1,58,1,1,0,0,-39.067669
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep1_2_nScene2_freqdistance6_freq(1796,3540)_AM(7,13)_gap([8.5714,11.1429,24.8571;6.0769,18.9231]).wav",2436.438,59,"trial",0,0,3,3,1,59,1,0,0,1,-14.156589
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep2_3_nScene3_freqdistance6_freq(1600,766)_AM(3,13)_gap([8,13.3333;10.6923,15.5385,19.6154;23.1739,25.2174]).wav",2471.772,60,"trial",0,0,2,2,1,60,1,0,1,0,-177.2285
"cS1_b1_b2_b3_b4_b5_b6","Trial:1 Rep3_3_nScene3_freqdistance6_freq(1425,663)_AM(13,3)_gap([6.3846,8.6154,17.8462;13.6667,15.6667,25;11,21.1429]).wav",2511.726,61,"trial",0,0,3,3,1,61,1,0,1,0,157.11334
"cS1_b1_b2_b3_b4_b5_b6","Trial:2 Rep4_2_nScene2_freqdistance6_freq(1270,582)_AM(13,3)_gap([8.7692,20.6923,26.8462;14.6667,23.3333]).wav",2547.224,62,"trial",0,0,3,3,1,62,1,0,0,1,-258.05069
"cS1_b1_b2_b3_b4_b5_b6","Trial:3 Rep2_3_nScene3_freqdistance6_freq(1115,2263)_AM(13,23)_gap([7.0769,20.2308,23.4615;12.2174,14.3043,16.4783;9.3333,26.3333]).wav",2582.391,63,"trial",0,0,3,3,1,63,1,0,1,0,2.3677187
"cS1_b1_b2_b3_b4_b5_b6","Trial:4 Rep4_1_nScene1_freqdistance0_freq(1270)_AM(13)_gap([9.4615,17.7692,24.7692]).wav",2617.561,64,"trial",0,0,3,3,1,64,1,1,0,0,-171.59451
"cS1_b1_b2_b3_b4_b5_b6","Trial:5 Rep2_2_nScene2_freqdistance6_freq(1115,2263)_AM(13,23)_gap([12.1538,19.9231;10.1304,17.6087,23.4783]).wav",2653.075,65,"trial",0,0,2,2,1,65,1,0,0,1,33.14566
"cS1_b1_b2_b3_b4_b5_b6","Trial:6 Rep1_1_nScene1_freqdistance0_freq(1115)_AM(3)_gap([13.6667,21.6667]).wav",2689.008,66,"trial",0,0,2,2,1,66,1,1,0,0,627.55969
"cS1_b1_b2_b3_b4_b5_b6","Trial:7 Rep3_2_nScene2_freqdistance6_freq(1425,2851)_AM(13,3)_gap([11.1538,13.4615,21.2308;23.3333,26.3333]).wav",2724.743,67,"trial",0,1,3,3,1,67,1,0,0,1,-23.9559
"cS1_b1_b2_b3_b4_b5_b6","Trial:8 Rep1_3_nScene3_freqdistance6_freq(1115,2263)_AM(3,13)_gap([12.6667,22,26.6667;6.2308,15.6923;9.4286,19.5714]).wav",2759.946,68,"trial",0,0,3,3,1,68,1,0,1,0,-88.278877
"cS1_b1_b2_b3_b4_b5_b6","Trial:9 Rep4_3_nScene3_freqdistance6_freq(1270,582)_AM(13,3)_gap([16.6154,20.6154,23;13.6667,27;6.3478,8.6522,11.5217]).wav",2795.325,69,"trial",0,0,3,3,1,69,1,0,1,0,-52.48798
"cS1_b1_b2_b3_b4_b5_b6","Trial:10 Rep2_1_nScene1_freqdistance0_freq(1115)_AM(13)_gap([6.3077,22.4615]).wav",2831.143,70,"trial",0,0,2,2,1,70,1,1,0,0,617.09119
"cS1_b1_b2_b3_b4_b5_b6","Trial:11 Rep3_1_nScene1_freqdistance0_freq(1425)_AM(13)_gap([13.8462,19.5385,21.6154]).wav",2866.494,71,"trial",0,0,3,3,1,71,1,1,0,0,613.2525
"cS1_b1_b2_b3_b4_b5_b6","Trial:12 Rep1_2_nScene2_freqdistance6_freq(1115,2263)_AM(3,13)_gap([8,22.3333;17.6923,24.5385]).wav",2901.996,72,"trial",0,0,2,2,1,72,1,0,0,1,455.62445
"cS2_b1_b2_b3_b4_b5_b6","Trial:1 Rep3_3_nScene3_freqdistance6_freq(1796,872)_AM(13,3)_gap([9.6923,22.6154,25.2308;6.3333,17;11.7143,14.1429,19.2857]).wav",5132.886,1,"trial",0,0,3,3,1,1,1,0,1,0,-101.04066
"cS2_b1_b2_b3_b4_b5_b6","Trial:2 Rep4_3_nScene3_freqdistance6_freq(1425,2851)_AM(23,3)_gap([10.3043,24.0435,26.4348;6,12.3333,19.3333;8,14.4615]).wav",5168.869,2,"trial",1,3,3,3,1,2,1,0,1,0,47.240986
"cS2_b1_b2_b3_b4_b5_b6","Trial:3 Rep3_2_nScene2_freqdistance6_freq(1796,3540)_AM(13,3)_gap([7.0769,11.1538,20.3077;15.3333,17.6667,23.6667]).wav",5204.237,3,"trial",0,1,3,3,1,3,1,0,0,1,156.89571
"cS2_b1_b2_b3_b4_b5_b6","Trial:4 Rep2_2_nScene2_freqdistance6_freq(1270,582)_AM(13,3)_gap([7.5385,13.3077;19.3333,22,24]).wav",5240.14,4,"trial",0,0,2,2,1,4,1,0,0,1,-58.144604
"cS2_b1_b2_b3_b4_b5_b6","Trial:5 Rep4_2_nScene2_freqdistance6_freq(1425,2851)_AM(23,3)_gap([13.3913,16.1304,22.2174;24.3333,26.6667]).wav",5276.337,5,"trial",0,0,3,3,1,5,1,0,0,1,-177.32693
"cS2_b1_b2_b3_b4_b5_b6","Trial:6 Rep1_2_nScene2_freqdistance6_freq(1270,582)_AM(7,13)_gap([12.2857,19;16.4615,21.2308,23.4615]).wav",5311.856,6,"trial",0,1,2,2,1,6,1,0,0,1,-184.23901
"cS2_b1_b2_b3_b4_b5_b6","Trial:7 Rep2_3_nScene3_freqdistance6_freq(1270,2540)_AM(13,3)_gap([6.6154,9.8462,16.0769;18.3333,24.6667;13.3043,21.5217]).wav",5348.004,7,"trial",1,2,3,3,1,7,1,0,1,0,223.44102
"cS2_b1_b2_b3_b4_b5_b6","Trial:8 Rep1_3_nScene3_freqdistance6_freq(1270,582)_AM(7,13)_gap([10.8571,13.2857,26.8571;7.7692,19.0769;16,22,24]).wav",5383.225,8,"trial",1,4,1,3,0.33333,8,1,0,1,0,57.583675
"cS2_b1_b2_b3_b4_b5_b6","Trial:9 Rep3_1_nScene1_freqdistance0_freq(1796)_AM(13)_gap([14.0769,25.4615]).wav",5418.455,9,"trial",0,0,2,2,1,9,1,1,0,0,-322.8674
"cS2_b1_b2_b3_b4_b5_b6","Trial:10 Rep1_1_nScene1_freqdistance0_freq(1270)_AM(7)_gap([9.7143,18.5714,25.7143]).wav",5456.777,10,"trial",0,0,3,3,1,10,1,1,0,0,300.98666
"cS2_b1_b2_b3_b4_b5_b6","Trial:11 Rep2_1_nScene1_freqdistance0_freq(1270)_AM(13)_gap([7.0769,9.3077,12.3846]).wav",5493.557,11,"trial",0,0,3,3,1,11,1,1,0,0,-109.98498
"cS2_b1_b2_b3_b4_b5_b6","Trial:12 Rep4_1_nScene1_freqdistance0_freq(1425)_AM(23)_gap([12.3478,18.087]).wav",5528.857,12,"trial",0,0,2,2,1,12,1,1,0,0,-131.64896
"cS2_b1_b2_b3_b4_b5_b6","Trial:1 Rep3_1_nScene1_freqdistance0_freq(2016)_AM(23)_gap([7,13.6522]).wav",5570.175,13,"trial",0,0,2,2,1,13,1,1,0,0,-317.62607
"cS2_b1_b2_b3_b4_b5_b6","Trial:2 Rep3_2_nScene2_freqdistance6_freq(2016,993)_AM(23,7)_gap([12.1739,26.6957;18,20.8571,23.8571]).wav",5605.542,14,"trial",0,0,2,2,1,14,1,0,0,1,122.97839
"cS2_b1_b2_b3_b4_b5_b6","Trial:3 Rep1_2_nScene2_freqdistance6_freq(2016,3917)_AM(13,7)_gap([6.5385,11.8462,26.8462;16.5714,20.2857]).wav",5640.809,15,"trial",1,2,3,3,1,15,1,0,0,1,140.32002
"cS2_b1_b2_b3_b4_b5_b6","Trial:4 Rep4_3_nScene3_freqdistance6_freq(1270,582)_AM(23,7)_gap([6.8696,10.7826,14;16.7143,22.5714;19,25,27]).wav",5676.627,16,"trial",0,0,3,3,1,16,1,0,1,0,-362.72061
"cS2_b1_b2_b3_b4_b5_b6","Trial:5 Rep1_3_nScene3_freqdistance6_freq(2016,993)_AM(13,7)_gap([8.8462,11.3846,26.7692;6.1429,18.4286,21.2857;15.3333,23.3333]).wav",5712.043,17,"trial",0,0,3,3,1,17,1,0,1,0,-334.767
"cS2_b1_b2_b3_b4_b5_b6","Trial:6 Rep4_1_nScene1_freqdistance0_freq(1270)_AM(23)_gap([14.8696,22.1304,26.6522]).wav",5747.376,18,"trial",0,0,3,3,1,18,1,1,0,0,-260.14301
"cS2_b1_b2_b3_b4_b5_b6","Trial:7 Rep2_3_nScene3_freqdistance6_freq(1600,3154)_AM(7,13)_gap([10.1429,16.7143;7.2308,19.4615,22.0769;14.3478,24.8261]).wav",5782.794,19,"trial",1,4,1,2,0.5,19,1,0,1,0,134.35422
"cS2_b1_b2_b3_b4_b5_b6","Trial:8 Rep4_2_nScene2_freqdistance6_freq(1270,582)_AM(23,7)_gap([7.3478,22.8261;9.4286,13.1429]).wav",5818.227,20,"trial",0,0,2,2,1,20,1,0,0,1,-450.16711
"cS2_b1_b2_b3_b4_b5_b6","Trial:9 Rep1_1_nScene1_freqdistance0_freq(2016)_AM(13)_gap([6.1538,12.5385,26.0769]).wav",5853.377,21,"trial",1,0,2,3,0.66667,21,1,1,0,0,52.664528
