recording,evar_FA_mean,evar_FA_median,evar_n_hits_mean,evar_n_hits_median,evar_max_hits_mean,evar_max_hits_median,evar_HR_mean,evar_HR_median,evar_trial_idx_mean,evar_trial_idx_median,cond_,set_Easy,set_Hard,set_Medium,epoch_set,t1_0_0.45,t2_0.5_0.95,t3_1_1.45,t4_1.5_1.95,t5_2_2.45,t6_2.5_2.95,t7_3_3.45,t8_3.5_3.95,t9_4_4.45,t10_4.5_4.95,t11_5_5.45,t12_5.5_5.95,t13_6_6.45,t14_6.5_6.95,t15_7_7.45,t16_7.5_7.95,t17_8_8.45,t18_8.5_8.95,t19_9_9.45,t20_9.5_9.95,t21_10_10.45,t22_10.5_10.95,t23_11_11.45,t24_11.5_11.95,t25_12_12.45,t26_12.5_12.95,t27_13_13.45,t28_13.5_13.95,t29_14_14.45,t30_14.5_14.95,t31_15_15.45,t32_15.5_15.95,t33_16_16.45,t34_16.5_16.95,t35_17_17.45,t36_17.5_17.95,t37_18_18.45,t38_18.5_18.95,t39_19_19.45,t40_19.5_19.95,t41_20_20.45,t42_20.5_20.95,t43_21_21.45,t44_21.5_21.95,t45_22_22.45,t46_22.5_22.95,t47_23_23.45,t48_23.5_23.95,t49_24_24.45,t50_24.5_24.95,t51_25_25.45,t52_25.5_25.95,t53_26_26.45,t54_26.5_26.95,t55_27_27.45,t56_27.5_27.95,t57_28_28.45,t58_28.5_28.95
"cS1_b1_b2_b3_b4_b5_b6",0.045455,0,2.6364,3,2.6364,3,1,1,36.6364,33.5,1,1,0,0,"Easy",177.9454,198.5236,216.9281,148.9955,101.6792,135.1584,123.9137,3.88094,-48.02315,8.253425,131.4686,194.9021,190.8019,198.1329,232.9729,265.9427,260.3651,214.959,175.278,203.6333,215.9165,122.5728,-15.20462,29.03496,70.04284,112.1229,103.8929,82.53889,53.92987,60.37317,97.12868,67.5069,28.87518,12.97869,26.611095,44.462837,46.988136,35.021141,37.154884,93.545486,120.61353,143.03726,93.714401,87.973465,86.460114,110.99904,72.63245,121.0422,97.9467,106.6333,118.7302,102.2044,42.91984,1.621194,13.84885,42.14915,53.31963,58.74594
"cS1_b1_b2_b3_b4_b5_b6",0.13043,0,2.6087,3,2.6087,3,1,1,34.8261,36,1,0,0,1,"Medium",157.6325,158.2842,176.8865,138.888,47.53522,62.58853,78.21487,4.29958,-74.99393,-20.7385,166.4512,193.213,89.62128,63.48248,90.74611,103.0046,126.6749,89.42819,60.28816,71.27837,110.9949,135.2014,93.75214,105.6815,109.8257,82.85414,89.69157,37.93198,71.21189,92.14492,88.79973,84.77321,71.179,65.93132,93.379974,118.98732,153.71277,164.03845,155.61093,186.18407,190.33286,141.34509,94.401398,93.569366,124.46207,75.240784,82.88227,69.32848,71.98679,79.58573,96.37877,57.72539,7.281894,26.9403,12.08239,2.195238,-23.5533,-60.17096
"cS1_b1_b2_b3_b4_b5_b6",0.1,0,2.65,3,2.65,3,1,1,38.75,39.5,1,0,1,0,"Hard",-73.87785,-51.60413,-0.4785867,-32.77533,-83.84046,-29.3005,12.55405,3.0167,-44.61158,5.793371,76.51353,76.1957,3.436599,0.09272711,18.5126,98.2175,159.8483,110.8922,24.17578,7.937596,-10.62092,-22.46128,40.08576,83.90284,69.05591,12.74529,-18.60841,5.808789,39.74178,49.5405,59.19125,87.95506,25.34321,-2.836128,12.914905,23.894413,62.552483,50.674088,-1.8885959,22.640932,40.887764,26.037327,4.1033959,23.537094,13.849291,25.05077,53.11771,72.16801,79.36172,106.6763,106.8304,17.44558,-57.97803,-17.91075,46.73928,81.82804,-2.714722,-5.895043
"cS2_b1_b2_b3_b4_b5_b6",0,0,2.3636,2,2.3636,2,1,1,37.2273,36.5,1,1,0,0,"Easy",-101.1657,-53.01724,-110.5387,-63.21828,-34.0751,-24.88082,-19.10723,0.461717,-19.84528,-28.6892,-31.29918,-40.42377,-81.00045,-72.13751,-18.48047,-18.19601,-58.39565,-35.40275,-56.51469,-88.88936,-121.2381,-113.7745,-52.28492,-18.58529,-46.90735,-66.52311,-58.83467,-48.72102,-44.29309,-30.08752,7.083176,46.83616,7.369117,2.83904,0.33964425,-55.778076,-84.764191,-87.26403,-71.677834,-53.279083,-44.016735,-28.41798,5.9387841,4.7368631,-17.487516,-51.214455,-63.60295,-46.80201,-34.37979,-21.42361,-43.36469,-55.69112,-31.42644,-28.01606,-42.32587,-43.27596,-49.39852,-34.26381
"cS2_b1_b2_b3_b4_b5_b6",0.42857,0,2.4286,2,2.4286,2,1,1,29.3571,25,1,0,0,1,"Medium",-115.5537,-95.08336,-109.4168,-83.17001,-91.71053,-22.70375,-3.000343,1.72193,-57.86774,-56.47152,-57.47455,-8.020645,27.63111,24.41604,2.468601,34.67535,73.1358,79.42247,1.636685,-47.65466,-76.27214,-117.6852,-115.1693,-102.1088,-101.5111,-96.86971,-45.44405,-74.59712,-95.77779,-117.5152,-85.88486,-123.021,-74.20478,-21.86483,-17.360048,-65.471146,-79.785645,-44.565994,-66.888588,-107.33757,-106.00511,-109.3386,-116.00621,-112.13511,-105.03188,-78.848846,-110.3562,-83.84667,-87.8534,-42.97078,-23.32762,-92.24364,-100.0909,-79.53443,-100.9768,-94.35825,-93.17033,-119.8779
"cS2_b1_b2_b3_b4_b5_b6",0,0,2.6,3,2.6,3,1,1,23.8,17,1,0,1,0,"Hard",-227.0278,-190.3999,-108.8929,-84.0572,-111.0601,4.715868,32.93519,5.99028,-101.7433,-91.29796,-124.3986,-90.13131,-62.37687,-100.2906,-42.41225,-54.31674,-83.12109,-72.23286,-99.36018,-186.5949,-205.2022,-133.9886,-140.5691,-139.2224,-172.3003,-159.064,-208.0194,-264.4429,-275.9578,-235.8403,-237.7935,-239.4853,-206.2766,-182.5075,-232.77158,-281.25549,-277.68127,-316.16644,-322.18234,-253.20132,-175.20949,-159.61293,-184.38503,-218.35149,-254.04117,-274.30792,-249.4028,-268.739,-255.5941,-221.3399,-235.5828,-273.8218,-246.6404,-173.9232,-251.8786,-224.9831,-164.4879,-112.897
"cS3_b1_b2_b3_b4_b5_b6",0,0,2.5652,3,2.5652,3,1,1,37.9565,38,1,1,0,0,"Easy",173.2344,226.4689,354.4624,93.13759,-23.54161,62.88569,54.20424,1.62355,27.63671,117.8126,203.8494,183.1569,218.6839,234.2114,248.1933,294.5112,297.0822,196.6488,122.2684,100.7312,100.7079,108.288,215.5322,233.1513,153.4044,48.11523,50.28712,32.8989,1.586123,-71.02583,-106.3204,-1.005863,20.56875,-63.97485,-179.06482,-127.16874,-125.24589,-192.58675,-242.79111,-354.3053,-307.85901,-307.7814,-169.02502,-284.69485,-314.38669,-451.65021,-420.7636,-269.2566,-170.3909,-159.0908,-270.5712,-313.7486,-236.1978,-234.2943,-179.2854,-174.0247,-233.5874,-200.0534
"cS3_b1_b2_b3_b4_b5_b6",0.36842,0,2.6316,3,2.6316,3,1,1,35.1053,29,1,0,0,1,"Medium",-114.5357,-133.7293,-47.84246,-59.9413,-108.073,-78.76952,49.03285,13.2419,-154.661,-93.80125,149.3204,262.6811,310.8985,408.4128,428.6815,445.401,488.1465,445.9126,285.2285,151.8672,82.30513,172.8531,178.77,156.36,145.4918,128.5598,221.2496,216.5869,192.7206,219.5839,79.28853,227.7821,239.075,157.1719,122.40999,59.507885,26.43313,109.72728,118.51581,13.905171,-64.676735,-24.927227,-114.88065,-96.554688,-177.00281,-192.78807,-95.85709,-235.759,-322.6048,-184.6183,-217.8215,-147.8051,-46.76688,-146.2973,-144.1164,-127.8993,-158.752,-352.983
"cS3_b1_b2_b3_b4_b5_b6",0.26667,0,2.6,3,2.6,3,1,1,36.8,35,1,0,1,0,"Hard",-86.23351,-89.62074,59.7902,170.496,131.1983,158.3443,193.9587,10.7337,-145.659,-40.87354,96.52449,238.1049,317.8011,353.2819,477.4044,612.0125,707.2642,704.658,612.0916,595.3719,591.6135,640.6642,589.4064,538.4713,689.5505,615.2687,502.6046,406.863,369.1767,316.5107,423.6286,389.3829,414.603,337.5402,152.56226,122.07098,335.33752,414.87152,297.04694,404.75772,476.25253,378.9588,166.28796,73.032715,83.0812,142.34085,94.96963,191.3858,268.8945,424.8551,356.7254,77.81835,39.1096,116.2324,100.7314,107.9335,41.16608,27.15877
"cS4_b1_b2_b3_b4_b5_b6",0,0,2.4348,2,2.4348,2,1,1,37.1739,37,1,1,0,0,"Easy",-41.83125,18.447,53.70361,78.82101,41.69083,37.40144,19.85164,1.77017,-39.74515,-12.24671,35.65002,24.23019,-23.82891,-80.42848,-82.38028,-52.24827,-43.49933,-49.36051,-93.8192,-171.1675,-189.8554,-221.8975,-218.5169,-284.4447,-262.0117,-270.919,-363.6024,-371.3304,-312.0458,-264.6948,-224.8562,-199.3078,-194.7891,-155.75,-127.00393,-117.05241,-111.4136,-144.68172,-195.59921,-156.43379,-145.11549,-174.01848,-177.73717,-122.3559,-130.55783,-138.89336,-117.0905,-105.6954,-91.08159,-92.09706,-103.7504,-104.2446,-42.60537,12.11373,49.83973,31.38216,-24.06202,-21.65199
"cS4_b1_b2_b3_b4_b5_b6",0.14286,0,2.4286,2,2.4286,2,1,1,40.2143,45.5,1,0,0,1,"Medium",-110.6382,-79.86604,-93.23277,13.05761,14.63387,1.54246,38.03645,3.58154,-37.97794,12.98499,65.47343,74.28912,42.07769,24.11227,-82.34785,-123.432,-85.92649,-44.34884,-22.48783,-36.14785,-108.1506,-95.54358,-107.6141,-235.5289,-193.0209,-199.0962,-251.4971,-268.1919,-261.0049,-311.2013,-401.9557,-516.8369,-527.0069,-470.952,-454.73633,-429.47699,-417.14972,-488.54575,-525.34204,-445.22662,-446.80289,-437.59653,-389.09512,-318.12018,-380.00732,-340.9809,-290.6756,-301.3796,-272.1529,-238.1595,-251.169,-315.4523,-284.7772,-334.682,-394.6132,-285.925,-210.7172,-224.7014
"cS4_b1_b2_b3_b4_b5_b6",0.076923,0,2.5385,3,2.5385,3,1,1,44.6923,44,1,0,1,0,"Hard",-86.25371,-92.63617,-30.07846,19.29923,44.70179,59.86002,37.32179,7.7098,-58.06444,1.538391,96.38245,154.5103,143.8274,99.92735,115.0222,128.4474,151.0029,171.7645,159.153,183.4452,141.3564,107.7929,105.0468,73.83544,57.17274,107.808,133.8217,119.611,72.95314,8.94621,-43.12844,-55.13215,-28.30539,8.996485,20.927582,28.125738,-7.9676728,-42.405579,-10.493198,-47.11554,3.9843001,14.704488,-6.1021128,10.170601,42.822411,40.681904,-54.16599,-121.3843,-142.439,-158.0706,-140.7009,-174.8693,-171.91,-205.8851,-219.7476,-222.9744,-226.1832,-163.6392
"cS5_b1_b2_b3_b4_b5_b6",0,0,2.5417,3,2.5417,3,1,1,37.0833,37,1,1,0,0,"Easy",283.4593,264.7863,245.3206,218.2807,109.7723,167.568,126.1754,4.91318,-46.49022,49.68359,186.2043,279.4743,150.6907,82.4978,56.7113,-73.04216,38.87527,215.1136,212.6761,198.4604,146.3096,192.1717,119.5574,128.6282,69.1896,61.78675,93.88066,22.51713,21.16507,-74.41522,-172.4247,-148.2767,-129.2771,-176.4654,-255.47424,-144.0804,-202.53499,-237.28455,-318.52911,-363.30136,-261.57895,-209.18973,-293.92694,-144.45828,-166.43332,-142.912,-242.6982,-282.2878,-278.0008,-287.569,-235.5728,-172.4326,-94.29132,-66.65053,-103.2264,-164.521,-310.6802,-332.1346
"cS5_b1_b2_b3_b4_b5_b6",0.13043,0,2.6087,3,2.6087,3,1,1,36.3043,37,1,0,0,1,"Medium",-97.73563,-0.1868544,32.0053,56.22866,24.42459,0.5703815,52.22849,2.41661,-36.12903,12.16092,169.1974,350.2961,320.4185,257.8845,302.7442,329.278,387.6156,351.7161,304.8879,292.1993,262.4168,183.1933,122.5987,120.6605,44.56873,-30.46256,-42.99621,44.6621,18.08172,-46.28031,-4.096955,-0.01345506,-62.3365,-101.6528,-60.216576,-158.21156,-108.22032,-8.354454,-112.27013,-1.215078,3.2098699,40.569481,-23.212988,29.988806,-67.223778,-108.56954,-32.91655,7.962579,42.85821,-11.10639,-26.41596,-49.30955,-117.8867,-123.3932,-185.6619,-164.0952,-189.3722,-270.4866
"cS5_b1_b2_b3_b4_b5_b6",0.21053,0,2.4737,2,2.4737,2,1,1,39.1053,39,1,0,1,0,"Hard",-247.2643,-89.89369,-82.0334,31.49757,7.096178,41.04779,49.14957,4.65561,-96.77929,-111.5167,70.40742,222.4506,205.347,65.71727,103.2997,176.002,145.867,77.21605,54.64724,93.95145,99.20706,3.572258,-8.831892,-58.08529,-36.59607,-13.42149,-64.45135,-125.2583,-181.937,-114.4601,-54.54298,32.82282,66.55805,30.43653,-42.625904,-31.110834,-69.738838,-48.66806,-162.46971,-134.62354,-155.18544,-325.0589,-258.48331,-219.79166,-228.21646,-279.49295,-276.7862,-276.648,-236.7875,-236.5215,-196.5576,-195.8016,-273.3589,-319.7349,-194.3776,-104.7662,8.663795,-131.9912
